time,value
8230.0,-4.2904035730985886
8231.0,-2.7118472019745337
8232.0,-1.1585407893733817
8233.0,0.3534655916790798
8234.0,1.8084734344299218
8235.0,3.1912296446502944
8236.0,4.487072490386497
8237.0,5.682143391012919
8238.0,6.763646610873864
8239.0,7.720151949444562
8240.0,8.541975144781796
8241.0,9.221668263482607
8242.0,9.754583412914608
8243.0,10.13939093788486
8244.0,10.378404142136498
8245.0,10.477603162291802
8246.0,10.446330871954178
8247.0,10.296711226621824
8248.0,10.04288976029209
8249.0,9.700218488860244
8250.0,9.284511493025999
8251.0,8.811473674244233
8252.0,8.296343768804228
8253.0,7.753719467920723
8254.0,7.197494363078173
8255.0,6.640845900546468
8256.0,6.096240017991944
8257.0,5.575435997813371
8258.0,5.089484798257378
8259.0,4.648716449208106
8260.0,4.26269736434426
8261.0,3.940110372435941
8262.0,3.688496563534612
8263.0,3.5138239080857328
8264.0,3.419907456251011
8265.0,3.407765852747452
8266.0,3.475022505057574
8267.0,3.6154366921288115
8268.0,3.818609439011719
8269.0,4.069899820816774
8270.0,4.350632352981765
8271.0,4.638744608941089
8272.0,4.910045886245048
8273.0,5.140163850382107
8274.0,5.307035583603596
8275.0,5.393542245511399
8276.0,5.38974455983178
8277.0,5.294242483165126
8278.0,5.114415055811278
8279.0,4.865572289280988
8280.0,4.569264722772185
8281.0,4.251101517352342
8282.0,3.9384223493141715
8283.0,3.6580778554931057
8284.0,3.4344503110518616
8285.0,3.287759371307592
8286.0,3.2326970136457933
8287.0,3.2775080021144816
8288.0,3.4236916051876842
8289.0,3.6664467123090136
8290.0,3.995798647387866
8291.0,4.39813678721773
8292.0,4.8577968971107985
8293.0,5.3583888777562345
8294.0,5.883736291187506
8295.0,6.418459006685878
8296.0,6.948319617855855
8297.0,7.4604415712852505
8298.0,7.943426897697633
8299.0,8.387332551280835
8300.0,8.783471686787648
8301.0,9.124089503246891
8302.0,9.40205558086719
8303.0,9.610733152516026
8304.0,9.74410284146358
8305.0,9.797092698315605
8306.0,9.765993167584641
8307.0,9.648859346584407
8308.0,9.445879826847115
8309.0,9.15973566460514
8310.0,8.795940060311876
8311.0,8.363075347919809
8312.0,7.872801995824975
8313.0,7.339546395990224
8314.0,6.779871688709259
8315.0,6.211652750851622
8316.0,5.653240950348092
8317.0,5.1227551434202105
8318.0,4.637488434478824
8319.0,4.213285137408961
8320.0,3.8637346984685244
8321.0,3.599162261706827
8322.0,3.4255741931976766
8323.0,3.3438237732561893
8324.0,3.349239828057423
8325.0,3.4318392945540577
8326.0,3.577103997894149
8327.0,3.7672010115914665
8328.0,3.9824701364524913
8329.0,4.2029773038756275
8330.0,4.409941529731255
8331.0,4.58689473304094
8332.0,4.720518432183054
8333.0,4.801182633933126
8334.0,4.823245556572527
8335.0,4.785142763010961
8336.0,4.689236269859199
8337.0,4.54136590796937
8338.0,4.350075133494356
8339.0,4.125554838622027
8340.0,3.8784247116372508
8341.0,3.6185241321630635
8342.0,3.3539034770534393
8343.0,3.0901907464977634
8344.0,2.8304492230794036
8345.0,2.5755334887673684
8346.0,2.3248218839753476
8347.0,2.077112928033864
8348.0,1.8314629794918964
8349.0,1.5878048738752568
8350.0,1.347281593732627
8351.0,1.1123117454249747
8352.0,0.88644793807827
8353.0,0.6740928951807382
8354.0,0.48012134517554284
8355.0,0.3094454879095958
8356.0,0.16657053875359742
8357.0,0.055204583253164165
8358.0,-0.022004152730368876
8359.0,-0.06354228742218873
8360.0,-0.06890122872439257
8361.0,-0.038295131749960076
8362.0,0.027650545034979993
8363.0,0.1280883491956794
8364.0,0.2618963493593956
8365.0,0.4273479206116527
8366.0,0.6215754156642959
8367.0,0.8399911128322267
8368.0,1.075864128127303
8369.0,1.320212675299281
8370.0,1.5620796473924463
8371.0,1.7891649645615733
8372.0,1.9887231173341557
8373.0,2.148590535776147
8374.0,2.2581711402408486
8375.0,2.3092053496503184
8376.0,2.296213357446042
8377.0,2.2166191435257985
8378.0,2.0706563882404367
8379.0,1.8611688090630178
8380.0,1.5933464101737838
8381.0,1.2743548455386824
8382.0,0.9127971054570476
8383.0,0.5180144935093292
8384.0,0.0993389328430425
8385.0,-0.33451932619819863
8386.0,-0.7757812169288868
8387.0,-1.2175594614561531
8388.0,-1.6535937889210983
8389.0,-2.077989777678693
8390.0,-2.485155504355338
8391.0,-2.8699833631650264
8392.0,-3.2281590262526905
8393.0,-3.5563788088009605
8394.0,-3.8522703880779567
8395.0,-4.11395113016512
8396.0,-4.339362953375159
8397.0,-4.525665427143315
8398.0,-4.668954210519673
8399.0,-4.764426028050553
8400.0,-4.806943087593104
8401.0,-4.791844537672225
8402.0,-4.715825875271853
8403.0,-4.577734138628155
8404.0,-4.379182023393259
8405.0,-4.124950362110341
8406.0,-3.8231996643780692
8407.0,-3.485516332707072
8408.0,-3.12677577736083
8409.0,-2.7647496964208633
8410.0,-2.4193569712025376
8411.0,-2.11148003487783
8412.0,-1.8613633007240205
8413.0,-1.6867713240855031
8414.0,-1.601231671787677
8415.0,-1.6127152943259069
8416.0,-1.7229921657560263
8417.0,-1.9277148785881844
8418.0,-2.217114395486289
8419.0,-2.577087854175548
8420.0,-2.9904339373126265
8421.0,-3.438040845196207
8422.0,-3.899925193622377
8423.0,-4.356109684281502
8424.0,-4.78737222467746
8425.0,-5.175894665498514
8426.0,-5.505819531420432
8427.0,-5.7637195477322765
8428.0,-5.938991724216125
8429.0,-6.024182371339772
8430.0,-6.015227390951927
8431.0,-5.911567555665139
8432.0,-5.716087372478143
8433.0,-5.434843594546029
8434.0,-5.076601229678088
8435.0,-4.652257325307083
8436.0,-4.17426017801917
8437.0,-3.6561005479461177
8438.0,-3.111886297736156
8439.0,-2.555957271756377
8440.0,-2.002480944108279
8441.0,-1.4649957862069203
8442.0,-0.9559231879887345
8443.0,-0.4861144962836815
8444.0,-0.06450220395367458
8445.0,0.30211561159949296
8446.0,0.6091729660592778
8447.0,0.8543455473240604
8448.0,1.0374882928479383
8449.0,1.1605016813082039
8450.0,1.2271248629688316
8451.0,1.2426589122430172
8452.0,1.2136344968674204
8453.0,1.147457664320586
8454.0,1.0520793139983609
8455.0,0.9357125256964143
8456.0,0.8065751614546371
8457.0,0.6726103563288381
8458.0,0.5411656154078378
8459.0,0.4186674703912371
8460.0,0.3103637835883544
8461.0,0.22019589052241723
8462.0,0.15081675465773783
8463.0,0.1037124788295811
8464.0,0.0793420495288504
8465.0,0.07721211069385757
8466.0,0.09585598711137562
8467.0,0.132760719220782
8468.0,0.1843376664480841
8469.0,0.2460316487374242
8470.0,0.31261347661573663
