time,value
12467.0,-5.97290271077505
12468.0,-9.38675206073578
12469.0,-13.986907172362947
12470.0,-19.977598785214294
12471.0,-26.25606305420944
12472.0,-30.922230633844073
12473.0,-32.243568478472504
12474.0,-29.499912297940305
12475.0,-23.366709674890483
12476.0,-15.8055815721597
12477.0,-9.52461151420621
12478.0,-7.049011072050498
12479.0,-9.571762456995144
12480.0,-16.07709268317439
12481.0,-23.44830813300486
12482.0,-27.9241418775179
12483.0,-27.266534886982406
12484.0,-22.13839525449059
12485.0,-15.56282283733273
12486.0,-10.875920646668401
12487.0,-9.786248495628467
12488.0,-11.832031078822116
12489.0,-15.213510370904011
12490.0,-18.058015850084868
12491.0,-19.2633926626177
12492.0,-18.68581050440715
12493.0,-16.885996084923157
12494.0,-14.708095988641123
12495.0,-12.85901014632692
12496.0,-11.601886255861544
12497.0,-10.672107988038727
12498.0,-9.456459138672194
12499.0,-7.3193311130270065
12500.0,-3.851776415720313
12501.0,1.0834888828944258
12502.0,7.4212548562837055
12503.0,14.907579546471059
12504.0,23.010341983786926
12505.0,30.836736322986077
12506.0,37.22150130121832
12507.0,41.05747079488114
12508.0,41.75327434603895
12509.0,39.5801506207174
12510.0,35.71530861201871
12511.0,31.93488392488093
12512.0,30.050624457392217
12513.0,31.282148865391196
12514.0,35.79278760783722
12515.0,42.566144166285305
12516.0,49.660910758347235
12517.0,54.74576751937228
12518.0,55.80513621461257
12519.0,51.92799725432879
12520.0,43.92846268050202
12521.0,34.317326581520454
12522.0,26.300298432527935
12523.0,22.15478780982402
12524.0,21.984311269228968
12525.0,23.74584668734156
12526.0,24.544783044996244
12527.0,22.295302488696034
12528.0,16.738219204337657
12529.0,9.388048775396893
12530.0,2.573731838174019
12531.0,-1.939256693931718
12532.0,-4.058835334378364
12533.0,-5.5235065850055705
12534.0,-8.867599637665768
12535.0,-15.708285679525375
12536.0,-25.42203329324606
12537.0,-35.19115596401523
12538.0,-41.591620354911925
12539.0,-42.76839721779864
12540.0,-39.634706183993686
12541.0,-35.145632696031385
12542.0,-32.24113324338308
12543.0,-32.14879190649394
12544.0,-34.29364557382126
12545.0,-37.551032033305255
12546.0,-41.47168085925085
12547.0,-46.341172217643724
12548.0,-52.16528752306846
12549.0,-57.739942287371896
12550.0,-60.92515860036118
12551.0,-60.12660354855507
12552.0,-55.763430353188234
12553.0,-50.328655235457106
12554.0,-46.8205034983959
12555.0,-46.76926924728142
12556.0,-49.39013893699716
12557.0,-52.37689944440888
12558.0,-53.59646770202547
12559.0,-52.4419226437965
12560.0,-49.99759945405952
12561.0,-48.05639060519571
12562.0,-47.80632853135064
12563.0,-49.127677415005856
12564.0,-50.86465165997722
12565.0,-51.69814840315271
12566.0,-50.92570818540892
12567.0,-48.698404868292556
12568.0,-45.78602644795939
12569.0,-43.255385759364614
12570.0,-42.283285927617136
12571.0,-43.9472902270015
12572.0,-48.74091150022363
12573.0,-55.900851979205534
12574.0,-63.08110818348368
12575.0,-66.96732860650711
12576.0,-64.86997295548015
12577.0,-56.48728741788485
12578.0,-44.60668704767459
12579.0,-34.02525977476052
12580.0,-29.162641198677775
12581.0,-31.79586168220188
12582.0,-40.27526253140181
12583.0,-50.56045422910292
12584.0,-58.27635333693776
12585.0,-60.5362887767248
12586.0,-56.71114997312142
12587.0,-48.183509626312485
12588.0,-37.66260338583723
12589.0,-28.470707741102366
12590.0,-23.753706741789152
12591.0,-25.505381704209803
12592.0,-33.68254274691141
12593.0,-45.953445668911485
12594.0,-58.38870835637973
12595.0,-66.88018566728802
12596.0,-68.6975063791654
12597.0,-63.57407649786955
12598.0,-53.90058998536695
12599.0,-43.810645330092136
12600.0,-37.31869130379059
12601.0,-36.32295660478127
12602.0,-39.69436690853721
12603.0,-44.1586443747582
12604.0,-46.43988720420609
12605.0,-45.2140687289556
12606.0,-41.62034024946057
12607.0,-38.18113796472076
12608.0,-37.04686876426233
12609.0,-38.748723880127784
12610.0,-42.122901024657665
12611.0,-45.301191854383625
12612.0,-47.089128664583086
12613.0,-47.8011150574815
12614.0,-48.831771193703965
12615.0,-51.098684152640914
12616.0,-53.595752961987074
12617.0,-53.560599256349725
12618.0,-48.5524693061047
12619.0,-38.92228713624124
12620.0,-28.507940996360084
12621.0,-22.738797809051096
12622.0,-25.458653524031117
12623.0,-36.6551694890293
12624.0,-52.375633474855164
12625.0,-66.5925788989882
12626.0,-73.82804391497292
12627.0,-71.18527863819209
12628.0,-58.91191020152286
12629.0,-39.54652040499776
12630.0,-16.57298772987475
