slope1,slope2,slope3,t1,t2,t3,std_dev,sample_entropy,label
4.301364,-0.716894,0.558390,84,184,163,17.868866,1.651811,0
0.171801,0.231769,0.054296,37,245,131,9.453063,0.158224,0
3.144293,-26.726492,0.441349,19,222,4,22.374629,1.809459,1
0.528780,3.547944,0.393103,177,58,208,47.724757,0.362859,1
1.057416,-4.595692,3.454358,139,74,90,35.715685,0.083063,1
1.409818,26.786547,0.229694,36,237,3,19.005558,2.006935,0
0.133366,-0.219477,0.903921,336,18,136,9.222866,0.128207,0
0.645382,-1.245737,2.538834,126,55,71,24.169784,1.858582,1
1.008349,-2.869916,0.548149,50,136,67,23.850271,0.102725,1
inf,-0.697024,0.531659,32,160,81,18.697856,0.313049,0
1.522356,-3.177092,0.263909,71,120,43,23.450657,0.431256,1
0.599347,-4.195426,0.847611,152,87,22,21.799414,1.626435,1
0.360969,12.561708,0.438468,169,72,111,22.396886,1.948040,0
1.150495,-3.615841,2.859230,116,18,31,27.109866,1.013058,1
0.293075,0.498850,0.099189,66,260,140,13.748784,1.848726,0
0.173038,0.245137,0.038189,20,175,58,4.570155,0.133265,0
1.580328,-0.322516,0.180816,59,209,144,9.128740,0.082306,0
0.843519,-3.213406,0.259240,101,106,45,23.703016,0.088834,1
0.694510,-1.423746,0.615614,183,82,81,22.798556,1.586761,1
0.765778,-3.199860,0.409068,145,113,43,25.270553,1.049324,1
0.069754,-0.107399,0.573841,320,18,135,4.643028,0.215907,0
2.661238,-1.995928,0.225816,21,247,42,17.016576,0.112639,0
4.205900,-2.453442,0.342173,19,249,65,20.859035,0.646730,0
0.878226,-2.515998,0.208571,143,134,62,25.771424,0.253860,1
0.274382,3.919740,0.146988,93,100,89,13.362417,0.688485,0
0.229266,-0.160700,0.667135,182,31,119,7.666815,0.165721,0
0.470918,-0.657094,0.640408,103,72,56,12.100785,2.092290,0
1.234039,-1.357443,1.408701,84,76,100,18.668182,0.528224,1
0.987073,-1.271805,0.747156,119,22,64,20.063518,0.085845,1
0.052254,0.155057,0.065520,181,123,236,6.174432,0.693640,0
0.583351,4.407541,0.755659,118,44,108,52.231256,0.128728,1
0.277304,1.091885,0.290564,94,162,38,14.179296,1.786644,0
0.070181,0.114882,0.089230,100,167,229,10.166568,0.097583,0
0.119807,0.493324,0.351298,159,218,68,18.924716,0.219963,1
1.421945,-4.265835,0.754854,96,78,46,31.589068,1.121546,1
0.431020,-3.182915,0.377810,218,54,33,18.991832,0.385935,1
0.741719,-0.766443,0.850627,122,96,87,20.112673,1.548264,0
0.064819,0.100380,0.046634,79,153,223,6.882794,0.255628,0
0.295864,-0.372216,0.116824,70,181,36,5.557198,0.760846,0
0.180570,3.198668,0.821541,234,33,57,26.586755,0.068407,1
0.291700,0.678202,0.090801,53,175,71,11.384221,0.604736,0
0.229374,0.582256,0.168261,80,127,106,19.489217,0.106181,0
0.238187,1.632279,0.356708,199,115,161,25.718442,1.720990,0
0.162872,0.246202,0.195803,66,188,184,14.074611,1.703929,0
0.266688,0.841971,0.491614,151,75,184,37.891631,0.548616,0
4.049423,-4.859307,1.787550,22,188,127,55.992960,0.073235,1
